recommendation_id,carrier_id,origin_hub,origin_name,destination_hub,destination_name,container_size,quantity_boxes,quantity_teu,train_id,road_distance_km,road_duration_minutes,truck_tariff_distance_km,truck_vehicle_count,truck_per_vehicle_fare_krw,truck_rate_type,truck_capacity_rule,truck_standard_min_cost_krw,truck_combine_min_cost_krw,truck_fare_candidate_count,truck_combine_eligibility,truck_combine_applied,truck_combine_pair_count,rail_tariff_distance_km,rail_physical_distance_km,rail_model_charge_krw,rail_distance_fare_krw,rail_handling_cost_krw,rail_cost_krw,truck_cost_krw,cost_difference_krw,cost_saving_rate,rail_process_start_time,rail_available_time,rail_end_to_end_hours,truck_origin_loading_hours,truck_destination_unloading_hours,truck_end_to_end_hours,time_difference_hours,rail_total_train_co2_kg,rail_max_capacity_teu,rail_co2_allocation_ratio,rail_co2_kg,truck_co2_kg,co2_difference_kg,co2_reduction_rate,truck_fare_policy,truck_fare_source,truck_distance_source,rail_co2_parameter_source,time_boundary
REC0001,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,2,2.0,CAND0158,135.099,99.51113333333333,135,1,747360.0,안전위탁운임,20FT 2개/대 COMBINE,830400,747360,3,ELIGIBLE: 20FT 1쌍에 2개/대 COMBINE 운임 적용,True,1,152.6,152.6,116537.56,116600,32000,148600,747360,598760,0.8011667737101263,2025-07-01 20:00,2025-07-02 04:00,8.0,1.5,1.5,4.658518888888889,-3.3414811111111113,1262.15679744,66.0,0.030303030303030304,38.24717568,116.03382912,77.78665344,0.6703790957338356,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0002,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,5,5.0,CAND0170,135.099,99.51113333333333,135,3,636640.0,안전위탁운임,20FT 2개/대 COMBINE 2대 + 20FT 1개/대 1대,2076000,1909920,3,"ELIGIBLE: 20FT 2쌍은 2개/대 COMBINE, 잔여 1개는 1개/대 일반운임 적용",True,2,152.6,152.6,291343.91,291500,80000,371500,1909920,1538420,0.8054892351512105,2025-07-04 20:00,2025-07-05 04:00,8.0,1.5,1.5,4.658518888888889,-3.3414811111111113,1262.15679744,66.0,0.07575757575757576,95.6179392,348.10148736,252.48354816000003,0.7253159131115297,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0003,CARRIER_A,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,20FT,2,2.0,CAND0707,184.76,124.83871666666667,185,1,898200.0,안전위탁운임,20FT 2개/대 COMBINE,998000,898200,3,ELIGIBLE: 20FT 1쌍에 2개/대 COMBINE 운임 적용,True,1,236.2,242.0,180381.22,180400,32000,212400,898200,685800,0.7635270541082164,2025-07-03 15:00,2025-07-04 04:00,13.0,1.5,1.5,5.080645277777778,-7.919354722222222,2001.5854848,66.0,0.030303030303030304,60.6541056,158.6866688,98.0325632,0.6177744100454643,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0004,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,6,6.0,CAND0707,315.292,200.52891666666667,315,3,679500.0,안전위탁운임,20FT 2개/대 COMBINE,2265000,2038500,3,ELIGIBLE: 20FT 3쌍에 2개/대 COMBINE 운임 적용,True,3,384.8,390.59999999999997,881592.18,881400,96000,977400,2038500,1061100,0.5205298013245033,2025-07-03 15:00,2025-07-04 09:00,18.0,1.5,1.5,6.342148611111112,-11.657851388888888,3230.65822464,66.0,0.09090909090909091,293.69620224,812.39397888,518.69777664,0.638480577311883,"포지셔닝: 의왕ICD ↔ 항만 공컨테이너 공급운송, 거리별 왕복운임의 50% 적용",수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0005,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,7,7.0,CAND0170,235.632,166.36041666666668,236,4,947680.0,안전위탁운임,20FT 2개/대 COMBINE 3대 + 20FT 1개/대 1대,4146100,3790720,3,"ELIGIBLE: 20FT 3쌍은 2개/대 COMBINE, 잔여 1개는 1개/대 일반운임 적용",True,3,258.6,264.4,691206.75,690900,112000,802900,3790720,2987820,0.7881932719905453,2025-07-04 15:00,2025-07-05 04:00,13.0,1.5,1.5,5.772673611111111,-7.227326388888889,2186.85620736,66.0,0.10606060606060606,231.93929472000002,809.51844864,577.57915392,0.7134848562010407,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0006,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,20FT,1,1.0,CAND0170,113.744,96.83446666666667,114,1,378400.0,안전위탁운임,"20FT 1개/대, 40FT 1개/대",378400,,3,INELIGIBLE: 20FT 1개는 2개/대 COMBINE 대상 아님,False,0,111.8,111.8,42689.71,42700,16000,58700,378400,319700,0.8448731501057083,2025-07-04 15:00,2025-07-04 23:00,8.0,1.5,1.5,4.6139077777777775,-3.3860922222222225,924.69940992,66.0,0.015151515151515152,14.01059712,97.69244672,83.6818496,0.8565846430261257,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0007,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,20FT,3,3.0,CAND0707,113.744,96.83446666666667,114,2,529760.0,안전위탁운임,20FT 2개/대 COMBINE 1대 + 20FT 1개/대 1대,1135200,1059520,3,"ELIGIBLE: 20FT 1쌍은 2개/대 COMBINE, 잔여 1개는 1개/대 일반운임 적용",True,1,111.8,111.8,128069.13,128100,48000,176100,1059520,883420,0.8337926608275446,2025-07-03 15:00,2025-07-03 23:00,8.0,1.5,1.5,4.6139077777777775,-3.3860922222222225,924.69940992,66.0,0.045454545454545456,42.03179136,195.38489344,153.35310208,0.7848769645391885,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0008,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,40FT,1,2.0,CAND0170,113.744,96.83446666666667,114,1,428400.0,안전위탁운임,"20FT 1개/대, 40FT 1개/대",428400,,3,INELIGIBLE: COMBINE은 20FT 컨테이너에만 적용,False,0,111.8,111.8,66185.6,66200,20000,86200,428400,342200,0.7987861811391224,2025-07-04 15:00,2025-07-04 23:00,8.0,1.5,1.5,4.6139077777777775,-3.3860922222222225,924.69940992,66.0,0.030303030303030304,28.02119424,97.69244672,69.67125248,0.7131692860522514,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0009,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,40FT,5,10.0,CAND0707,113.744,96.83446666666667,114,5,428400.0,안전위탁운임,"20FT 1개/대, 40FT 1개/대",2142000,,3,INELIGIBLE: COMBINE은 20FT 컨테이너에만 적용,False,0,111.8,111.8,330928.0,331000,100000,431000,2142000,1711000,0.7987861811391224,2025-07-03 15:00,2025-07-03 23:00,8.0,1.5,1.5,4.6139077777777775,-3.3860922222222225,924.69940992,66.0,0.15151515151515152,140.1059712,488.4622336,348.3562624,0.7131692860522513,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0010,CARRIER_B,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,14,14.0,CAND0158,375.823,288.35766666666666,376,7,763380.0,안전위탁운임,20FT 2개/대 COMBINE,5937400,5343660,3,ELIGIBLE: 20FT 7쌍에 2개/대 COMBINE 운임 적용,True,7,402.3,408.09999999999997,2150599.23,2150400,224000,2374400,5343660,2969260,0.5556603526421966,2025-07-01 15:00,2025-07-02 09:00,18.0,1.5,1.5,7.805961111111111,-10.194038888888889,3375.40097664,66.0,0.21212121212121213,715.99414656,2259.50800768,1543.51386112,0.6831194471865746,"포지셔닝: 의왕ICD ↔ 항만 공컨테이너 공급운송, 거리별 왕복운임의 50% 적용",수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
