recommendation_id,carrier_id,origin_hub,destination_hub,container_size,rail_available_time,inventory_context_status,destination_baseline_inventory_at_rail_available,destination_post_rail_inventory_at_rail_available,destination_baseline_unmet_demand_at_rail_available,destination_post_rail_unmet_demand_at_rail_available,destination_baseline_stockout_boxes,destination_post_rail_stockout_boxes,destination_stockout_reduction_boxes
REC0001,CARRIER_A,BUGANG,YAKMOK,20FT,2025-07-02 04:00,AVAILABLE,7,9,0,0,16,2,14
REC0002,CARRIER_A,BUGANG,YAKMOK,20FT,2025-07-05 04:00,AVAILABLE,1,13,0,0,16,2,14
REC0003,CARRIER_A,UIWANG,DONGSAN,20FT,2025-07-04 04:00,AVAILABLE,0,2,0,0,2,0,2
REC0004,CARRIER_A,UIWANG,GWANGYANG,20FT,2025-07-04 09:00,AVAILABLE,0,6,0,0,6,0,6
REC0005,CARRIER_A,UIWANG,YAKMOK,20FT,2025-07-05 04:00,AVAILABLE,1,13,0,0,16,2,14
REC0006,CARRIER_B,UIWANG,BUGANG,20FT,2025-07-04 23:00,AVAILABLE,4,8,0,0,4,0,4
REC0007,CARRIER_B,UIWANG,BUGANG,20FT,2025-07-03 23:00,AVAILABLE,7,10,0,0,4,0,4
REC0008,CARRIER_B,UIWANG,BUGANG,40FT,2025-07-04 23:00,AVAILABLE,2,8,0,0,6,0,6
REC0009,CARRIER_B,UIWANG,BUGANG,40FT,2025-07-03 23:00,AVAILABLE,3,8,0,0,6,0,6
REC0010,CARRIER_B,UIWANG,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,10,38,0,0,42,0,42
REC0011,CARRIER_B,UIWANG,BUSAN,20FT,2025-07-05 09:00,AVAILABLE,0,14,0,0,42,0,42
REC0012,CARRIER_B,UIWANG,BUSAN,40FT,2025-07-05 09:00,AVAILABLE,0,1,0,0,7,2,5
REC0013,CARRIER_B,YAKMOK,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,10,38,0,0,42,0,42
REC0014,CARRIER_B,YAKMOK,BUSAN,20FT,2025-07-05 09:00,AVAILABLE,0,14,0,0,42,0,42
REC0015,CARRIER_B,YAKMOK,BUSAN,40FT,2025-07-02 09:00,AVAILABLE,0,4,0,0,7,2,5
REC0016,CARRIER_C,BUGANG,BUSAN,20FT,2025-07-05 09:00,AVAILABLE,0,4,0,0,9,1,8
REC0017,CARRIER_C,UIWANG,BUSAN,20FT,2025-07-05 09:00,AVAILABLE,0,4,0,0,9,1,8
REC0018,CARRIER_C,UIWANG,BUSAN,40FT,2025-07-05 09:00,AVAILABLE,6,7,0,0,1,0,1
REC0019,CARRIER_C,UIWANG,DONGSAN,20FT,2025-07-04 04:00,AVAILABLE,0,4,0,0,8,4,4
REC0020,CARRIER_C,YAKMOK,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,0,4,0,0,9,1,8
REC0021,CARRIER_C,YAKMOK,BUSAN,20FT,2025-07-05 09:00,AVAILABLE,0,4,0,0,9,1,8
REC0022,CARRIER_D,BUGANG,YAKMOK,40FT,2025-07-02 04:00,AVAILABLE,1,2,0,0,2,0,2
REC0023,CARRIER_D,BUGANG,YAKMOK,40FT,2025-07-05 04:00,AVAILABLE,0,1,0,0,2,0,2
REC0024,CARRIER_D,UIWANG,GWANGYANG,40FT,2025-07-04 09:00,AVAILABLE,0,5,0,0,10,5,5
REC0025,CARRIER_E,BUGANG,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,2,6,0,0,4,0,4
REC0026,CARRIER_E,UIWANG,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,2,6,0,0,4,0,4
REC0027,CARRIER_E,UIWANG,DONGSAN,40FT,2025-07-04 04:00,AVAILABLE,0,1,0,0,2,1,1
REC0028,CARRIER_E,UIWANG,GWANGYANG,20FT,2025-07-04 09:00,AVAILABLE,0,5,0,0,6,1,5
REC0029,CARRIER_E,UIWANG,GWANGYANG,40FT,2025-07-04 09:00,AVAILABLE,1,2,0,0,1,0,1
REC0030,CARRIER_E,YAKMOK,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,2,6,0,0,4,0,4
REC0031,CARRIER_F,BUGANG,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,0,9,0,0,14,1,13
REC0032,CARRIER_F,DONGSAN,GWANGYANG,40FT,2025-07-04 09:00,AVAILABLE,2,3,0,0,2,1,1
REC0033,CARRIER_F,UIWANG,BUSAN,20FT,2025-07-02 09:00,AVAILABLE,0,9,0,0,14,1,13
REC0034,CARRIER_F,UIWANG,BUSAN,20FT,2025-07-05 09:00,AVAILABLE,1,5,0,0,14,1,13
REC0035,CARRIER_F,UIWANG,DONGSAN,20FT,2025-07-04 04:00,AVAILABLE,4,5,0,0,1,0,1
REC0036,CARRIER_F,UIWANG,YAKMOK,20FT,2025-07-05 04:00,AVAILABLE,1,2,0,0,1,0,1
