scenario,carrier_id,timestamp,source_pattern_timestamp,hub_code,hub_name,container_size,demand,supply_return,supply_sea_empty_inbound,supply_total
HACKATHON_DEMO_2026-08-10,CARRIER_A,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_B,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_C,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_D,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_E,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_F,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_A,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_B,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_C,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_D,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_E,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_F,2026-08-10 00:00,2025-05-05 00:00,UIWANG,의왕ICD(오봉역),40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_A,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_B,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_C,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_D,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_E,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_F,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_A,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_B,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_C,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_D,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_E,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_F,2026-08-10 00:00,2025-05-05 00:00,BUGANG,부강화물역 CY,40FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_A,2026-08-10 00:00,2025-05-05 00:00,YAKMOK,약목역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_B,2026-08-10 00:00,2025-05-05 00:00,YAKMOK,약목역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_C,2026-08-10 00:00,2025-05-05 00:00,YAKMOK,약목역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_D,2026-08-10 00:00,2025-05-05 00:00,YAKMOK,약목역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_E,2026-08-10 00:00,2025-05-05 00:00,YAKMOK,약목역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_F,2026-08-10 00:00,2025-05-05 00:00,YAKMOK,약목역 CY,20FT,0,0,0,0
HACKATHON_DEMO_2026-08-10,CARRIER_A,2026-08-10 00:00,2025-05-05 00:00,YAKMOK,약목역 CY,40FT,0,0,0,0
