detail_id,need_id,carrier_id,origin_hub,origin_name,destination_hub,destination_name,container_size,quantity_boxes,quantity_teu,train_id,load_start_time,departure_time,arrival_time,available_time,model_load_start_slot,model_departure_slot,model_arrival_slot,model_available_slot,service_due_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
DETAIL0001,NEED0001,CARRIER_A,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 01:00,2025-07-04 04:00,63,66,73,76,2025-07-05 16:00,36,242.0,236.2,90190.61
DETAIL0002,NEED0002,CARRIER_A,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 01:00,2025-07-04 04:00,63,66,73,76,2025-07-05 17:00,37,242.0,236.2,90190.61
DETAIL0003,NEED0003,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,63,66,78,81,2025-07-04 13:00,4,390.6,384.8,146932.03
DETAIL0004,NEED0004,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,63,66,78,81,2025-07-05 09:00,24,390.6,384.8,146932.03
DETAIL0005,NEED0005,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,63,66,78,81,2025-07-05 16:00,31,390.6,384.8,146932.03
DETAIL0006,NEED0006,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,63,66,78,81,2025-07-05 17:00,32,390.6,384.8,146932.03
DETAIL0007,NEED0007,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,63,66,78,81,2025-07-06 11:00,50,390.6,384.8,146932.03
DETAIL0008,NEED0008,CARRIER_A,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,1,1,CAND0707,2025-07-03 15:00,2025-07-03 18:00,2025-07-04 06:00,2025-07-04 09:00,63,66,78,81,2025-07-06 14:00,53,390.6,384.8,146932.03
DETAIL0009,NEED0012,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0158,2025-07-01 20:00,2025-07-01 23:00,2025-07-02 01:00,2025-07-02 04:00,20,23,25,28,2025-07-03 11:00,31,152.6,152.6,58268.78
DETAIL0010,NEED0013,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0158,2025-07-01 20:00,2025-07-01 23:00,2025-07-02 01:00,2025-07-02 04:00,20,23,25,28,2025-07-03 15:00,35,152.6,152.6,58268.78
DETAIL0011,NEED0014,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-04 20:00,2025-07-04 23:00,2025-07-05 01:00,2025-07-05 04:00,92,95,97,100,2025-07-06 09:00,29,152.6,152.6,58268.78
DETAIL0012,NEED0015,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,2,2,CAND0170,2025-07-04 20:00,2025-07-04 23:00,2025-07-05 01:00,2025-07-05 04:00,92,95,97,100,2025-07-06 11:00,31,152.6,152.6,116537.57
