recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0001,CARRIER_A,YAKMOK,20FT,4,4,2025-07-10 16:00,2025-07-11 15:00,BUGANG,9,4,5,4,4,CAND0158,0.6378,5,2025-07-10 16:00,2025-07-11 15:00,2025-07-09 01:00,2025-07-09 04:00,59,152.6,152.6,233075.12
REC0002,CARRIER_A,YAKMOK,20FT,1,1,2025-07-12 18:00,2025-07-12 18:00,BUGANG,6,5,1,1,1,CAND0170,0.5033,5,2025-07-12 18:00,2025-07-12 18:00,2025-07-12 01:00,2025-07-12 04:00,14,152.6,152.6,58268.78
REC0003,CARRIER_A,YAKMOK,20FT,15,12,2025-07-12 10:00,2025-07-14 18:00,UIWANG,38,15,23,15,15,CAND0170,0.5033,5,2025-07-12 10:00,2025-07-14 18:00,2025-07-12 01:00,2025-07-12 04:00,62,264.4,258.6,1481157.33
REC0004,CARRIER_A,YAKMOK,40FT,2,1,2025-07-10 08:00,2025-07-10 08:00,UIWANG,4,1,3,1,2,CAND0158,0.6378,5,2025-07-10 08:00,2025-07-10 08:00,2025-07-09 01:00,2025-07-09 04:00,28,264.4,258.6,153091.2
REC0005,CARRIER_A,YAKMOK,40FT,16,6,2025-07-12 15:00,2025-07-14 18:00,UIWANG,11,9,2,8,16,CAND0170,0.5033,5,2025-07-12 15:00,2025-07-14 18:00,2025-07-12 01:00,2025-07-12 04:00,62,264.4,258.6,1224729.6
REC0006,CARRIER_B,BUGANG,20FT,3,3,2025-07-13 07:00,2025-07-14 07:00,UIWANG,87,27,60,3,3,CAND0170,0.5033,5,2025-07-13 07:00,2025-07-14 07:00,2025-07-11 20:00,2025-07-11 23:00,56,111.8,111.8,128069.13
REC0007,CARRIER_B,BUGANG,40FT,4,2,2025-07-11 09:00,2025-07-11 14:00,UIWANG,6,2,4,2,4,CAND0158,0.6378,5,2025-07-11 09:00,2025-07-11 14:00,2025-07-08 20:00,2025-07-08 23:00,63,111.8,111.8,132371.2
REC0008,CARRIER_B,BUSAN,20FT,20,12,2025-07-10 20:00,2025-07-12 08:00,UIWANG,28,20,8,20,20,CAND0158,0.6378,5,2025-07-10 20:00,2025-07-12 08:00,2025-07-09 06:00,2025-07-09 09:00,71,408.1,402.3,3072284.62
REC0009,CARRIER_B,BUSAN,20FT,4,3,2025-07-12 11:00,2025-07-13 07:00,UIWANG,87,27,60,4,4,CAND0170,0.5033,5,2025-07-12 11:00,2025-07-13 07:00,2025-07-12 06:00,2025-07-12 09:00,22,408.1,402.3,614456.92
REC0010,CARRIER_C,BUSAN,20FT,4,3,2025-07-10 15:00,2025-07-12 06:00,BUGANG,5,3,2,3,3,CAND0158,0.6378,5,2025-07-10 15:00,2025-07-12 06:00,2025-07-09 06:00,2025-07-09 09:00,69,296.3,296.3,339417.57
REC0011,CARRIER_C,BUSAN,20FT,3,2,2025-07-10 15:00,2025-07-10 16:00,UIWANG,11,2,9,2,2,CAND0158,0.6378,5,2025-07-10 15:00,2025-07-10 16:00,2025-07-09 06:00,2025-07-09 09:00,31,408.1,402.3,307228.46
REC0012,CARRIER_C,YAKMOK,40FT,8,4,2025-07-09 09:00,2025-07-09 18:00,UIWANG,6,4,2,4,8,CAND0158,0.6378,5,2025-07-09 09:00,2025-07-09 18:00,2025-07-09 01:00,2025-07-09 04:00,14,264.4,258.6,612364.8
REC0013,CARRIER_D,YAKMOK,20FT,1,1,2025-07-13 11:00,2025-07-13 11:00,BUGANG,7,1,6,1,1,CAND0170,0.5033,5,2025-07-13 11:00,2025-07-13 11:00,2025-07-12 01:00,2025-07-12 04:00,31,152.6,152.6,58268.78
REC0014,CARRIER_E,BUSAN,20FT,1,1,2025-07-11 11:00,2025-07-11 11:00,BUGANG,1,1,0,1,1,CAND0158,0.6378,5,2025-07-11 11:00,2025-07-11 11:00,2025-07-09 06:00,2025-07-09 09:00,50,296.3,296.3,113139.19
REC0015,CARRIER_E,YAKMOK,20FT,2,2,2025-07-12 13:00,2025-07-12 17:00,BUGANG,3,3,0,2,2,CAND0170,0.5033,5,2025-07-12 13:00,2025-07-12 17:00,2025-07-12 01:00,2025-07-12 04:00,13,152.6,152.6,116537.56
REC0016,CARRIER_E,BUSAN,20FT,6,6,2025-07-10 11:00,2025-07-11 10:00,UIWANG,12,7,5,6,6,CAND0158,0.6378,5,2025-07-10 11:00,2025-07-11 10:00,2025-07-09 06:00,2025-07-09 09:00,49,408.1,402.3,921685.38
REC0017,CARRIER_E,YAKMOK,20FT,1,1,2025-07-11 14:00,2025-07-11 14:00,UIWANG,12,7,5,1,1,CAND0158,0.6378,5,2025-07-11 14:00,2025-07-11 14:00,2025-07-09 01:00,2025-07-09 04:00,58,264.4,258.6,98743.82
REC0018,CARRIER_E,YAKMOK,20FT,5,5,2025-07-12 08:00,2025-07-14 07:00,UIWANG,47,12,35,5,5,CAND0170,0.5033,5,2025-07-12 08:00,2025-07-14 07:00,2025-07-12 01:00,2025-07-12 04:00,51,264.4,258.6,493719.1
