need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,rail_unserved_boxes,rail_unserved_teu,reason,reason_is_proven_cause
NEED0001,CARRIER_A,DONGSAN,동산역 CY,20FT,1,1,2025-07-09 11:00,35,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0002,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2025-07-09 16:00,40,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0003,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2025-07-13 12:00,132,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0052,CARRIER_C,DONGSAN,동산역 CY,20FT,2,2,2025-07-09 09:00,33,1,FORECAST_STOCKOUT,0,2,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0053,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-09 15:00,39,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0054,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 13:00,61,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0055,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 14:00,62,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0056,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 16:00,64,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0057,CARRIER_C,DONGSAN,동산역 CY,40FT,1,2,2025-07-09 08:00,32,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0062,CARRIER_D,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 14:00,62,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0063,CARRIER_D,DONGSAN,동산역 CY,40FT,1,2,2025-07-12 11:00,107,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0064,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-11 17:00,89,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0065,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-12 06:00,102,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0066,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-14 06:00,150,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0067,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-14 12:00,156,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0076,CARRIER_E,DONGSAN,동산역 CY,20FT,1,1,2025-07-10 09:00,57,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0089,CARRIER_F,DONGSAN,동산역 CY,20FT,1,1,2025-07-08 11:00,11,1,FORECAST_STOCKOUT,0,1,1,NO_SOURCE_RELEASE_CAPACITY,False
NEED0090,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-13 10:00,130,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0091,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 11:00,155,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0092,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 13:00,157,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0093,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 15:00,159,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0094,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 17:00,161,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0095,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2025-07-14 18:00,162,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0096,CARRIER_F,GWANGYANG,신광양항,40FT,1,2,2025-07-14 15:00,159,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
